matrix,Adaptive-rt
human_gene2.mtx,10229.6
stoch_aircraft.mtx,44.6161
sinc15.mtx,459.961
t2d_q4_A_20.mtx,94.1291
large.mtx,63.7424
ABACUS_shell_md_M.mtx,182.181
Franz10.mtx,94.0211
t2d_q9_A_30.mtx,92.5397
fp.mtx,1004.97
hydr1c_A_04.mtx,59.1292
TSOPF_FS_b300.mtx,1730.83
bwm200.mtx,36.5574
scagr7-2b_A_3.mtx,85.8288
Journals.mtx,47.9654
GT01R.mtx,389.261
oscil_dcop_05.mtx,33.3892
ted_A_unscaled.mtx,431.925
oscil_dcop_04.mtx,37.6037
t2d_q9_A_16.mtx,94.4274
bips07_2476.mtx,102.684
Trefethen_20000b.mtx,209.001
scsd8-2c.mtx,116.734
bayer07.mtx,87.834
fome11.mtx,171.711
psse1.mtx,69.2374
cavity03.mtx,40.4612
Goodwin_023.mtx,199.341
Chebyshev3.mtx,463.121
delf.mtx,64.0914
Reuters911_Day_52.mtx,68.9555
hydr1c_A_65.mtx,57.6277
tumorAntiAngiogenesis_2.mtx,62.7444
sx-mathoverflow_C2A.mtx,371.507
jan99jac080.mtx,472.239
aug3d.mtx,59.6697
GL7d24.mtx,702.461
sme3Da.mtx,824.5
freeFlyingRobot_8.mtx,130.495
c-31.mtx,97.6651
wiki-RfA.mtx,676.368
psmigr_1.mtx,990.143
Maragal_5.mtx,308.645
oscil_dcop_17.mtx,37.3626
cage9.mtx,67.0007
ACTIVSg2000.mtx,79.2137
stat96v2.mtx,2903.71
aug2d.mtx,70.0557
hydr1c_A_32.mtx,60.2906
mult_dcop_03.mtx,3156.47
stormg2-8.mtx,64.5417
delf_A_25.mtx,55.1237
bcsstm20.mtx,30.9304
scagr7-2b_A_1.mtx,38.6011
sctap1-2r_A_08.mtx,75.053
IG5-16.mtx,617.73
freeFlyingRobot_13.mtx,164.329
TSOPF_RS_b162_c3.mtx,563.082
t2d_q4_A_12.mtx,96.1917
Zewail.mtx,176.54
n4c5-b5.mtx,57.9853
fome12.mtx,312.894
scsd8-2r_A_11.mtx,170.771
bcsstk16.mtx,165.205
oscil_dcop_27.mtx,41.5462
c-42.mtx,147.599
usps_norm_5NN.mtx,76.4532
gyro_k.mtx,484.106
west0497.mtx,38.9207
hydr1c_A_38.mtx,65.3597
sctap1-2r_A_02.mtx,37.4692
case9_A_11.mtx,82.2764
kineticBatchReactor_6.mtx,187.495
zed.mtx,34.5339
case9_b2_12.mtx,49.0086
lpi_klein2.mtx,35.9022
flowmeter0_B.mtx,40.6753
Goodwin_017.mtx,122.789
Trefethen_150.mtx,36.063
FA.mtx,139.127
nos4.mtx,33.5566
sctap1-2b_A_2.mtx,41.5179
hydr1c_A_23.mtx,54.5994
nemeth23.mtx,641.18
mark3jac020sc.mtx,271.434
G57.mtx,43.3262
oscil_dcop_08.mtx,35.1572
rat_A_1.mtx,95.6277
ex14.mtx,75.1353
scsd8-2b_A_1.mtx,40.9944
dbir2.mtx,2148.96
viscoplastic1_C_4.mtx,71.0053
hydr1c_A_19.mtx,64.8266
str_200.mtx,40.2447
freeFlyingRobot_10.mtx,169.489
oscil_dcop_54.mtx,41.6413
spaceStation_3.mtx,45.1151
ncvxqp1.mtx,67.4292
mimo28x28_system.mtx,79.5188
Goodwin_030.mtx,321.404
delf_A_21.mtx,59.4026
mesh2em5.mtx,37.4367
delf_A_31.mtx,58.7468
t2d_q4_A_24.mtx,105.064
jan99jac080sc.mtx,479.811
thread.mtx,1833.46
s2rmt3m1.mtx,130.621
jan99jac060sc.mtx,365.893
delf_A_27.mtx,59.4842
tumorAntiAngiogenesis_1.mtx,45.9892
nemeth07.mtx,222.38
Reuters911_Day_46.mtx,60.9387
rotor1.mtx,46.7181
lpi_ex73a.mtx,34.5132
crystk02.mtx,410.855
deter3.mtx,110.313
Reuters911_Day_58.mtx,60.3865
mark3jac040.mtx,499.719
case9_b1_07.mtx,43.586
lp_scrs8.mtx,35.6212
nemeth12.mtx,225.454
scrs8-2r_A_01.mtx,31.7633
wang3.mtx,129.434
hydr1c_A_48.mtx,55.2702
case9_b1_06.mtx,41.8273
lpi_pang.mtx,42.2735
Reuters911_Day_59.mtx,62.3406
graham1.mtx,352.536
lowThrust_3.mtx,53.6899
t2d_q9_A_45.mtx,89.7889
cell1.mtx,68.9315
rdb450.mtx,32.2091
inlet_E.mtx,108.631
ch7-6-b3.mtx,61.5473
freeFlyingRobot_6.mtx,104.854
oscil_dcop_20.mtx,31.0549
Si5H12.mtx,326.984
lowThrust_12.mtx,122.44
dano3mip.mtx,149.797
lp_ken_13.mtx,177.075
TSOPF_FS_b9_c6_b.mtx,46.884
Reuters911_Day_06.mtx,99.6154
nemeth18.mtx,307.442
lp_scagr7.mtx,35.1891
mk10-b3.mtx,46.7632
n3c5-b6.mtx,30.3954
delf_A_23.mtx,52.684
lp_osa_60.mtx,21639.4
oscil_dcop_45.mtx,36.1109
Reuters911_Day_65.mtx,57.698
