matrix,nnz,rows,cols,sym,type,range,empty-rows,avg-nz-row,min-nz-row,max-nz-row,ent-base-singles,ent-base-doubles,ent-base-prc,ent-singles,ent-doubles,ent-prc,row-singles,row-doubles,row-prc,fp64-rt,fp32(64)-rt,ent-base-rt,ent-split-rt,row-split-rt,row-comp-rt,row-dual-rt,fp32(64)-spup,ent-base-spup,ent-split-spup,row-split-spup,row-comp-spup,row-dual-spup,fp64-relerr,fp32(64)-relerr,ent-base-relerr,ent-split-relerr,row-split-relerr,row-comp-relerr,row-dual-relerr,fp32(32)-rt,fp32(32)-spup,fp32(32)-relerr,adaptive-rt
random_mtx_52,49040,500,500,0,r,1,0,98.08,71,122,49040,0,100,2471,46569,5.039,0,49040,0,17.753216,19.508608,19.830849,18.319679,17.271008,17.688095,17.263424,0.91002,0.895232,0.969079,1.02792,1.003682,1.028372,0,0.0000000444132,0.0000000444132,5.39102E-10,0,0,0,11.089824,1.600856,0.0000105009,609.939
random_mtx_53,21035,500,500,0,r,1,0,42.07,22,69,21035,0,100,1031,20004,4.901,0,21035,0,13.598528,15.647808,16.055296,15.42672,13.655168,13.506688,13.77168,0.869037,0.846981,0.881492,0.995852,1.0068,0.987427,0,0.0000000437924,0.0000000437924,4.596E-10,0,0,0,9.12384,1.490439,0.00000964022,241.895
random_mtx_54,89886,500,500,0,r,1,0,179.772,142,213,89886,0,100,4511,85375,5.019,0,89886,0,28.675936,31.762337,31.879969,29.64208,29.972095,30.035872,29.192385,0.902828,0.899497,0.967406,0.956754,0.954723,0.982309,0,0.0000000440041,0.0000000440041,5.23871E-10,0,0,0,26.97296,1.063136,0.0000132376,829.797
random_mtx_55,31428,500,500,0,r,1,0,62.856,38,86,31428,0,100,1573,29855,5.005,0,31428,0,15.937504,18.007648,18.435583,16.968288,15.498656,15.120864,15.47584,0.885041,0.864497,0.939252,1.028315,1.054007,1.029831,0,0.0000000478054,0.0000000478054,5.01608E-10,0,0,0,9.19584,1.733121,0.00000995685,583.436
random_mtx_56,28975,500,500,0,r,1,0,57.95,38,89,28975,0,100,1446,27529,4.991,0,28975,0,14.696768,17.738239,17.954432,16.600832,14.94912,14.661632,14.996192,0.828536,0.818559,0.885303,0.983119,1.002396,0.980033,0,0.0000000395766,0.0000000395766,4.46316E-10,0,0,0,11.40128,1.289045,0.00000954518,78.1827
random_mtx_57,23006,500,500,0,r,1,0,46.012,29,65,23006,0,100,1183,21823,5.142,0,23006,0,13.904032,16.115328,16.500032,15.77776,14.021536,13.918848,14.147648,0.862783,0.842667,0.881242,0.99162,0.998936,0.98278,0,0.0000000425608,0.0000000425608,5.17772E-10,0,0,0,8.703488,1.597524,0.00000931694,316.972
random_mtx_58,69890,500,500,0,r,1,0,139.78,112,166,69890,0,100,3433,66457,4.912,0,69890,0,21.192127,28.352097,26.293056,23.149248,21.663233,21.509632,21.707359,0.747462,0.805997,0.915456,0.978253,0.985239,0.976265,0,0.0000000447807,0.0000000447807,5.18951E-10,0,0,0,22.308895,0.949941,0.000010061,302.593
random_mtx_59,63450,500,500,0,r,1,0,126.9,96,157,63450,0,100,3221,60229,5.076,0,63450,0,20.176512,24.809856,25.93984,21.868288,21.550112,20.322529,21.564833,0.813246,0.777819,0.922638,0.93626,0.992815,0.935621,0,0.0000000364741,0.0000000364741,4.3229E-10,0,0,0,13.411744,1.504391,0.0000106369,349.817
random_mtx_6,86499,500,500,0,r,1,0,172.998,139,207,86499,0,100,4370,82129,5.052,0,86499,0,23.617151,24.597441,24.862495,23.995487,25.845823,27.984863,27.619583,0.960147,0.949911,0.984233,0.913771,0.843926,0.855087,0,0.0000000515881,0.0000000515881,5.63473E-10,0,0,0,16.629087,1.420231,0.0000128749,973.877
random_mtx_60,69969,500,500,0,r,1,0,139.938,111,178,69969,0,100,3530,66439,5.045,0,69969,0,21.361153,28.481056,25.253599,23.072191,21.832544,21.679712,21.831392,0.750013,0.845866,0.92584,0.978409,0.985306,0.97846,0,0.0000000444986,0.0000000444986,5.22684E-10,0,0,0,22.408224,0.953273,0.0000104564,851.345
